project_id,project_name,project_type,location,project_size_sqm,initial_budget_million,final_cost_million,duration_months,contractor_tier,government_funding_percentage,project_manager_experience_years,design_changes,weather_delays,regulatory_issues,material_price_inflation,labor_disputes,site_condition_issues,procurement_delays,project_complexity,stakeholder_conflicts,cost_overrun_percentage
33,Lokoja River Terminal,Maritime,Kogi,25000,220,286,30,2,70,9,3,4,3,6,1,5,4,6,3,30.0
34,Damaturu Solar Mini-Grid,Energy,Yobe,50000,95,104.5,12,3,95,6,1,3,2,3,0,4,2,5,1,10.0
35,Abakaliki Municipal Market,Commercial,Ebonyi,15000,110,126.5,18,3,50,7,2,2,1,5,1,3,3,4,2,15.0
36,Birnin Kebbi Irrigation Scheme,Agriculture,Kebbi,180000,210,231,24,3,85,8,2,6,2,4,0,5,3,5,1,10.0
37,Umuahia Technology Hub,Technology,Abia,8000,70,84,15,3,55,10,1,0,2,3,0,2,1,7,2,20.0
38,Owerri-Onitsha Highway,Transportation,Imo,45000,380,494,36,2,90,12,4,3,4,7,2,5,5,7,3,30.0
39,Minna International Conference Center,Hospitality,Niger,18000,260,273,24,2,50,11,2,1,2,4,0,3,2,7,2,5.0
40,Sokoto Teaching Hospital Wing,Healthcare,Sokoto,9500,150,172.5,18,3,85,9,2,3,2,5,0,3,3,6,1,15.0
41,Awka Government Complex,Administrative,Anambra,12000,180,198,24,3,80,10,2,2,1,4,1,3,2,5,2,10.0
42,Port Harcourt Coastal Defense,Environmental,Rivers,30000,280,378,30,2,90,12,3,6,4,5,1,8,4,7,2,35.0
43,Kano Leather Industrial Park,Industrial,Kano,60000,320,368,36,2,65,13,4,2,3,6,2,4,4,7,3,15.0
44,Calabar Tourism Resort,Hospitality,Cross River,25000,400,440,30,2,40,14,3,2,3,4,1,3,3,8,4,10.0
45,Abuja Light Rail Extension,Transportation,Abuja,40000,850,1105,48,1,85,17,6,3,5,8,3,5,6,9,4,30.0
46,Lagos Affordable Housing Scheme,Residential,Lagos,75000,650,715,42,2,70,11,3,2,4,5,2,4,3,6,3,10.0
47,Enugu Industrial Zone,Industrial,Enugu,50000,280,350,36,2,60,12,4,3,3,7,2,5,4,7,3,25.0
48,Jos Water Supply Upgrade,Water,Plateau,35000,150,180,24,3,95,8,2,4,3,4,0,6,3,5,1,20.0
49,Kaduna Power Distribution Network,Energy,Kaduna,120000,320,384,30,2,75,10,3,2,4,6,1,4,3,7,2,20.0
50,Benin Stormwater Management,Environmental,Edo,85000,240,312,24,2,90,9,3,7,3,5,0,8,3,6,2,30.0
